text,is_dark,category
Your package will arrive on Tuesday.,0,none
We have refunded your last order.,0,none
Thanks for shopping with us today.,0,none
Your appointment is confirmed for 3 PM.,0,none
The library opens at nine in the morning.,0,none
You can reach our team by email any time.,0,none
Here is the receipt for your purchase.,0,none
Your review has been posted successfully.,0,none
We have received your support request.,0,none
The weather looks clear for your delivery date.,0,none
You can update your preferences in settings.,0,none
Our office is closed on public holidays.,0,none
The recipe takes about thirty minutes to prepare.,0,none
Your photo was uploaded to the album.,0,none
Feel free to browse our help center.,0,none
The bus leaves from platform two.,0,none
Your file has finished downloading.,0,none
We hope you enjoy the rest of your day.,0,none
The meeting notes are saved in the shared folder.,0,none
Your seat has been assigned near the window.,0,none
Payment of forty dollars was received.,0,none
The garden needs watering twice a week.,0,none
Your account email has been verified.,0,none
You returned the book on time.,0,none
The printer is out of paper.,0,none
Our newsletter goes out every Friday.,0,none
Your message was sent to the host.,0,none
The trail is about five miles long.,0,none
We added two new colors to this collection.,0,none
Your order number is listed above.,0,none
The museum offers free entry on Sundays.,0,none
You have three items in your wishlist.,0,none
The training session starts next week.,0,none
Your password reset link has been emailed.,0,none
The coffee shop on Main Street reopened.,0,none
We will email you when it ships.,0,none
Your feedback helps us improve the site.,0,none
The document was shared with your team.,0,none
You can pick up your order at the counter.,0,none
The flight lands at noon local time.,0,none
Your settings have been saved.,0,none
The recipe serves four people.,0,none
We restocked this item this morning.,0,none
Your invoice is attached to this email.,0,none
The park closes at sunset.,0,none
You can change your delivery address before it ships.,0,none
The software update installed without errors.,0,none
Your table for two is ready.,0,none
We appreciate your patience while we look into this.,0,none
The store accepts returns with a receipt.,0,none
Your booking reference has been generated.,0,none
The class covers the basics of photography.,0,none
You can mute notifications in the app.,0,none
The repair will take about a week.,0,none
Your gift card balance is twenty dollars.,0,none
The road will reopen on Monday.,0,none
We have logged your call for reference.,0,none
Your tracking number is now active.,0,none
The recipe calls for two cups of flour.,0,none
You can save articles to read later.,0,none
The ferry runs every hour on weekends.,0,none
Your profile picture has been updated.,0,none
The warranty covers parts and labor.,0,none
We have noted your dietary preference.,0,none
The lecture hall is on the second floor.,0,none
You can compare two products side by side.,0,none
The shipment cleared customs today.,0,none
The thermostat is set to seventy degrees.,0,none
We have paused your account at your request.,0,none
Your order is being packed now.,0,none
The trial includes all standard features.,0,none
You can export your data from the dashboard.,0,none
Your seat upgrade was confirmed.,0,none
The park has free parking on weekdays.,0,none
We will follow up within two business days.,0,none
Your photo prints are ready for pickup.,0,none
I think the blue one looks better.,0,none
Let me know what time works for you.,0,none
The instructions are printed on the box.,0,none
Our team reviewed your application.,0,none
The hotel offers a free shuttle to the airport.,0,none
You can split the bill in the app.,0,none
The plant grows best in indirect light.,0,none
Your order shipped from our New Jersey warehouse.,0,none
We have updated the help article you asked about.,0,none
The class is open to all skill levels.,0,none
Your reservation includes breakfast.,0,none
The elevator is being serviced this afternoon.,0,none
You can pay by card or cash.,0,none
The report summarizes last quarter results.,0,none
Your membership card arrived in the mail.,0,none
The path is wheelchair accessible.,0,none
Your appointment was rescheduled to Friday.,0,none
The recipe can be made ahead of time.,0,none
You can leave a note for the delivery driver.,0,none
The store map is near the entrance.,0,none
We sent the warranty details to your email.,0,none
The conference starts with a keynote.,0,none
You can track your steps in the app.,0,none
The fabric is machine washable.,0,none
The tour lasts about ninety minutes.,0,none
We have added your child to the class roster.,0,none
Your return has been processed.,0,none
The garden tour is self guided.,0,none
You can reset your preferences at any time.,0,none
The book is available in the local branch.,0,none
